Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      642     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >)
  0.00      0.00     0.00      622     0.00     0.00  std::initializer_list<char>::end() const
  0.00      0.00     0.00      622     0.00     0.00  std::initializer_list<char>::size() const
  0.00      0.00     0.00      622     0.00     0.00  std::iterator_traits<char const*>::difference_type std::__distance<char const*>(char const*, char const*, std::random_access_iterator_tag)
  0.00      0.00     0.00      622     0.00     0.00  char* std::__copy_move_a2<false, char const*, char*>(char const*, char const*, char*)
  0.00      0.00     0.00      622     0.00     0.00  std::iterator_traits<char const*>::iterator_category std::__iterator_category<char const*>(char const* const&)
  0.00      0.00     0.00      622     0.00     0.00  char* std::copy<char const*, char*>(char const*, char const*, char*)
  0.00      0.00     0.00      622     0.00     0.00  std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*)
  0.00      0.00     0.00      550     0.00     0.00  std::tuple<std::vector<char, std::allocator<char> > const&>&& std::forward<std::tuple<std::vector<char, std::allocator<char> > const&> >(std::remove_reference<std::tuple<std::vector<char, std::allocator<char> > const&> >::type&)
  0.00      0.00     0.00      521     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >::_Rb_tree_const_iterator(std::_Rb_tree_node<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> > const*)
  0.00      0.00     0.00      515     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >::__normal_iterator(char* const&)
  0.00      0.00     0.00      514     0.00     0.00  LZW::max_limit()
  0.00      0.00     0.00      514     0.00     0.00  std::numeric_limits<char>::max()
  0.00      0.00     0.00      512     0.00     0.00  std::_Head_base<0ul, std::vector<char, std::allocator<char> >&&, false>::_M_head(std::_Head_base<0ul, std::vector<char, std::allocator<char> >&&, false>&)
  0.00      0.00     0.00      512     0.00     0.00  std::_Head_base<0ul, std::vector<char, std::allocator<char> >&&, false>::_Head_base<std::vector<char, std::allocator<char> > >(std::vector<char, std::allocator<char> >&&)
  0.00      0.00     0.00      512     0.00     0.00  std::_Tuple_impl<0ul, std::vector<char, std::allocator<char> >&&>::_M_head(std::_Tuple_impl<0ul, std::vector<char, std::allocator<char> >&&>&)
  0.00      0.00     0.00      512     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_base(std::allocator<char> const&)
  0.00      0.00     0.00      512     0.00     0.00  char* std::__uninitialized_copy<true>::__uninit_copy<char const*, char*>(char const*, char const*, char*)
  0.00      0.00     0.00      512     0.00     0.00  void std::vector<char, std::allocator<char> >::_M_range_initialize<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00      0.00     0.00      512     0.00     0.00  std::vector<char, std::allocator<char> >::vector(std::initializer_list<char>, std::allocator<char> const&)
  0.00      0.00     0.00      512     0.00     0.00  char* std::uninitialized_copy<char const*, char*>(char const*, char const*, char*)
  0.00      0.00     0.00      512     0.00     0.00  char* std::__uninitialized_copy_a<char const*, char*, char>(char const*, char const*, char*, std::allocator<char>&)
  0.00      0.00     0.00      512     0.00     0.00  std::vector<char, std::allocator<char> >&& std::forward<std::vector<char, std::allocator<char> >&&>(std::remove_reference<std::vector<char, std::allocator<char> >&&>::type&)
  0.00      0.00     0.00      511     0.00     0.00  std::_Rb_tree<std::vector<char, std::allocator<char> >, std::pair<std::vector<char, std::allocator<char> > const, unsigned short>, std::_Select1st<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >, std::less<std::vector<char, std::allocator<char> > >, std::allocator<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> > >::_M_rightmost()
  0.00      0.00     0.00      503     0.00     0.00  std::map<std::vector<char, std::allocator<char> >, unsigned short, std::less<std::vector<char, std::allocator<char> > >, std::allocator<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> > >::size() const
  0.00      0.00     0.00      480     0.00     0.00  std::_Rb_tree<std::vector<char, std::allocator<char> >, std::pair<std::vector<char, std::allocator<char> > const, unsigned short>, std::_Select1st<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >, std::less<std::vector<char, std::allocator<char> > >, std::allocator<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> > >::_M_begin()
  0.00      0.00     0.00      478     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >::operator==(std::_Rb_tree_iterator<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> > const&) const
  0.00      0.00     0.00      477     0.00     0.00  std::map<std::vector<char, std::allocator<char> >, unsigned short, std::less<std::vector<char, std::allocator<char> > >, std::allocator<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> > >::lower_bound(std::vector<char, std::allocator<char> > const&)
  0.00      0.00     0.00      477     0.00     0.00  std::map<std::vector<char, std::allocator<char> >, unsigned short, std::less<std::vector<char, std::allocator<char> > >, std::allocator<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> > >::end()
  0.00      0.00     0.00      477     0.00     0.00  std::_Rb_tree<std::vector<char, std::allocator<char> >, std::pair<std::vector<char, std::allocator<char> > const, unsigned short>, std::_Select1st<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >, std::less<std::vector<char, std::allocator<char> > >, std::allocator<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> > >::lower_bound(std::vector<char, std::allocator<char> > const&)
  0.00      0.00     0.00      477     0.00     0.00  std::_Rb_tree<std::vector<char, std::allocator<char> >, std::pair<std::vector<char, std::allocator<char> > const, unsigned short>, std::_Select1st<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >, std::less<std::vector<char, std::allocator<char> > >, std::allocator<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >*, std::_Rb_tree_node<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >*, std::vector<char, std::allocator<char> > const&)
  0.00      0.00     0.00      477     0.00     0.00  std::_Rb_tree<std::vector<char, std::allocator<char> >, std::pair<std::vector<char, std::allocator<char> > const, unsigned short>, std::_Select1st<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >, std::less<std::vector<char, std::allocator<char> > >, std::allocator<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> > >::end()
  0.00      0.00     0.00      464     0.00     0.00  std::_Rb_tree<std::vector<char, std::allocator<char> >, std::pair<std::vector<char, std::allocator<char> > const, unsigned short>, std::_Select1st<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >, std::less<std::vector<char, std::allocator<char> > >, std::allocator<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> > >::_S_left(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00      446     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00      443     0.00     0.00  std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::_M_range_check(unsigned long) const
  0.00      0.00     0.00      443     0.00     0.00  std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::at(unsigned long)
  0.00      0.00     0.00      443     0.00     0.00  std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::operator[](unsigned long)
  0.00      0.00     0.00      418     0.00     0.00  std::_Rb_tree_node_base*& std::forward<std::_Rb_tree_node_base*&>(std::remove_reference<std::_Rb_tree_node_base*&>::type&)
